date,open,high,low,close,volume,average,barCount
2024-02-13 12:00:00-06:00,5031.0,5032.5,5021.25,5023.5,-1.0,-1.0,-1
2024-02-13 13:00:00-06:00,5023.5,5023.5,4998.0,5000.75,-1.0,-1.0,-1
2024-02-13 14:00:00-06:00,5000.75,5030.25,4994.0,5029.75,-1.0,-1.0,-1
2024-02-13 15:00:00-06:00,5029.75,5032.25,5026.5,5031.5,-1.0,-1.0,-1
2024-02-14 08:30:00-06:00,5055.5,5060.75,5045.25,5056.25,-1.0,-1.0,-1
2024-02-14 09:00:00-06:00,5056.25,5067.5,5046.75,5047.0,-1.0,-1.0,-1
2024-02-14 10:00:00-06:00,5047.0,5050.5,5038.75,5040.5,-1.0,-1.0,-1
2024-02-14 11:00:00-06:00,5040.5,5050.75,5030.75,5049.25,-1.0,-1.0,-1
2024-02-14 12:00:00-06:00,5049.25,5059.0,5041.25,5053.25,-1.0,-1.0,-1
2024-02-14 13:00:00-06:00,5053.25,5058.25,5039.25,5056.5,-1.0,-1.0,-1
2024-02-14 14:00:00-06:00,5056.5,5078.75,5053.25,5073.75,-1.0,-1.0,-1
2024-02-14 15:00:00-06:00,5073.75,5081.0,5071.5,5076.5,-1.0,-1.0,-1
2024-02-15 08:30:00-06:00,5077.5,5088.75,5077.0,5081.25,-1.0,-1.0,-1
2024-02-15 09:00:00-06:00,5081.25,5090.75,5077.75,5082.75,-1.0,-1.0,-1
2024-02-15 10:00:00-06:00,5082.75,5086.25,5072.5,5082.75,-1.0,-1.0,-1
2024-02-15 11:00:00-06:00,5082.75,5090.75,5081.5,5085.5,-1.0,-1.0,-1
2024-02-15 12:00:00-06:00,5085.5,5102.0,5084.5,5099.0,-1.0,-1.0,-1
2024-02-15 13:00:00-06:00,5099.0,5107.5,5095.25,5103.75,-1.0,-1.0,-1
2024-02-15 14:00:00-06:00,5103.75,5106.5,5097.0,5105.75,-1.0,-1.0,-1
2024-02-15 15:00:00-06:00,5105.75,5110.75,5104.75,5109.5,-1.0,-1.0,-1
2024-02-16 08:30:00-06:00,5102.0,5104.25,5077.75,5083.25,-1.0,-1.0,-1
2024-02-16 09:00:00-06:00,5083.25,5096.5,5072.0,5094.0,-1.0,-1.0,-1
2024-02-16 10:00:00-06:00,5094.0,5109.75,5093.75,5107.25,-1.0,-1.0,-1
2024-02-16 11:00:00-06:00,5107.25,5108.75,5101.75,5103.5,-1.0,-1.0,-1
2024-02-16 12:00:00-06:00,5103.5,5108.75,5092.25,5108.75,-1.0,-1.0,-1
2024-02-16 13:00:00-06:00,5108.75,5113.75,5084.0,5090.5,-1.0,-1.0,-1
2024-02-16 14:00:00-06:00,5090.5,5092.25,5074.5,5079.5,-1.0,-1.0,-1
2024-02-16 15:00:00-06:00,5079.5,5080.0,5072.0,5073.25,-1.0,-1.0,-1
2024-02-20 08:30:00-06:00,5060.25,5067.25,5044.5,5049.75,-1.0,-1.0,-1
2024-02-20 09:00:00-06:00,5049.75,5053.25,5040.5,5053.0,-1.0,-1.0,-1
2024-02-20 10:00:00-06:00,5053.0,5056.0,5039.5,5040.0,-1.0,-1.0,-1
2024-02-20 11:00:00-06:00,5040.0,5040.5,5027.25,5037.25,-1.0,-1.0,-1
2024-02-20 12:00:00-06:00,5037.25,5042.5,5030.0,5041.75,-1.0,-1.0,-1
2024-02-20 13:00:00-06:00,5041.75,5051.0,5034.75,5050.25,-1.0,-1.0,-1
2024-02-20 14:00:00-06:00,5050.25,5051.75,5033.75,5050.75,-1.0,-1.0,-1
2024-02-20 15:00:00-06:00,5050.75,5051.25,5045.0,5048.5,-1.0,-1.0,-1
2024-02-21 08:30:00-06:00,5036.25,5039.25,5031.25,5034.75,-1.0,-1.0,-1
2024-02-21 09:00:00-06:00,5034.75,5042.75,5032.5,5035.0,-1.0,-1.0,-1
2024-02-21 10:00:00-06:00,5035.0,5045.25,5034.75,5042.0,-1.0,-1.0,-1
